,Unnamed: 0.1,Unnamed: 0,name,type,images,labels
0,0,0,breast-cancer-benign:train:0001,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_1.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_1.jpg
1,1,1,breast-cancer-benign:train:0002,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_2.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_2.jpg
2,2,2,breast-cancer-benign:train:0003,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_3.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_3.jpg
3,3,3,breast-cancer-benign:train:0004,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_7.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_7.jpg
4,4,4,breast-cancer-benign:train:0005,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_8.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_8.jpg
5,5,5,breast-cancer-benign:train:0006,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_11.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_11.jpg
6,6,6,breast-cancer-benign:train:0007,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_12.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_12.jpg
7,7,7,breast-cancer-benign:train:0008,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_14.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_14.jpg
8,8,8,breast-cancer-benign:train:0009,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_15.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_15.jpg
9,9,9,breast-cancer-benign:train:0010,breast-cancer-benign,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/images/image_16.jpg,/project/ahnailab/data/segmentation/breast-cancer/trainset_benign/labels/label_16.jpg
