,data_name,model_name,loss_name,iter,best_epoch,test_iou,test_dice,test_precision,test_recall,test_f1
0,CVC-ClinicDB,ColonFormer,IoUWithGaussianLoss,0.0,86.0,0.781114697,0.852271974,0.914297521,0.844977617,0.852271974
1,CVC-ClinicDB,ColonFormer,IoUWithGaussianLoss,1.0,37.0,0.777238786,0.853466094,0.911914051,0.845156372,0.853466094
2,CVC-ClinicDB,ColonFormer,IoUWithGaussianLoss,2.0,23.0,0.784711242,0.8635782,0.875234365,0.876919866,0.8635782
3,CVC-ClinicDB,ColonFormer,IoUWithGaussianLoss,3.0,107.0,0.786068976,0.857776105,0.925063014,0.841627836,0.857776105
4,CVC-ClinicDB,ColonFormer,IoUWithGaussianLoss,4.0,103.0,0.823642254,0.894469798,0.923693001,0.887947738,0.894469798
5,CVC-ClinicDB,ColonFormer,BCEWithGaussianLoss,0.0,22.0,0.784370184,0.858170927,0.899512887,0.864177406,0.858170927
6,CVC-ClinicDB,ColonFormer,BCEWithGaussianLoss,1.0,108.0,0.791211545,0.863041103,0.915931523,0.854324281,0.863041103
7,CVC-ClinicDB,ColonFormer,BCEWithGaussianLoss,2.0,84.0,0.809050858,0.881444633,0.93306005,0.864455342,0.881444633
8,CVC-ClinicDB,ColonFormer,BCEWithGaussianLoss,3.0,62.0,0.799886942,0.871692538,0.89618808,0.872236311,0.871692538
9,CVC-ClinicDB,ColonFormer,BCEWithGaussianLoss,4.0,144.0,0.842558205,0.909327745,0.923667789,0.906165719,0.909327745
10,CVC-ClinicDB,ColonFormer,DiceWithGaussianLoss,0.0,106.0,0.771920025,0.843454003,0.921669066,0.830008447,0.843454003
11,CVC-ClinicDB,ColonFormer,DiceWithGaussianLoss,1.0,78.0,0.779353082,0.850369215,0.935697615,0.826699257,0.850369215
12,CVC-ClinicDB,ColonFormer,DiceWithGaussianLoss,2.0,40.0,0.788935602,0.86566776,0.872783661,0.886772573,0.86566776
13,CVC-ClinicDB,ColonFormer,DiceWithGaussianLoss,3.0,77.0,0.778193772,0.854459822,0.907909036,0.844523787,0.854459822
14,CVC-ClinicDB,ColonFormer,DiceWithGaussianLoss,4.0,83.0,0.820812941,0.893703341,0.911052287,0.894282222,0.893703401
15,CVC-ClinicDB,ColonFormer,FocalWithSSIMLoss,0.0,7.0,0.603333294,0.717061222,0.760083318,0.801839054,0.717061222
16,CVC-ClinicDB,ColonFormer,FocalWithSSIMLoss,1.0,7.0,0.630395532,0.740709484,0.762427986,0.829808593,0.740709484
17,CVC-ClinicDB,ColonFormer,FocalWithSSIMLoss,2.0,4.0,0.629608631,0.747332811,0.708153427,0.879414082,0.747332811
18,CVC-ClinicDB,ColonFormer,FocalWithSSIMLoss,3.0,10.0,0.600315213,0.710214674,0.788901508,0.774764299,0.710214734
19,CVC-ClinicDB,ColonFormer,FocalWithSSIMLoss,4.0,9.0,0.654751778,0.768434167,0.784452438,0.834719419,0.768434167
20,CVC-ClinicDB,ColonFormer,FocalWithContextualLoss,0.0,44.0,0.780003846,0.845125318,0.925354481,0.844216406,0.845125318
21,CVC-ClinicDB,ColonFormer,FocalWithContextualLoss,1.0,35.0,0.787036538,0.858146191,0.930029035,0.844467521,0.858146191
22,CVC-ClinicDB,ColonFormer,FocalWithContextualLoss,2.0,57.0,0.797838569,0.86471945,0.926584125,0.852978349,0.864719331
23,CVC-ClinicDB,ColonFormer,FocalWithContextualLoss,3.0,34.0,0.757167101,0.82585597,0.923726737,0.816424847,0.825855911
24,CVC-ClinicDB,ColonFormer,FocalWithContextualLoss,4.0,38.0,0.79605478,0.865964234,0.930742502,0.854673028,0.865964174
25,CVC-ClinicDB,ColonFormer,BCEWithContextualLoss,0.0,55.0,0.808223307,0.875895798,0.915589869,0.863143206,0.875895798
26,CVC-ClinicDB,ColonFormer,BCEWithContextualLoss,1.0,30.0,0.795704424,0.866107702,0.904103696,0.861460209,0.866107702
27,CVC-ClinicDB,ColonFormer,BCEWithContextualLoss,2.0,92.0,0.814865828,0.883518398,0.887411952,0.889125705,0.883518398
28,CVC-ClinicDB,ColonFormer,BCEWithContextualLoss,3.0,70.0,0.820644796,0.889242291,0.926992238,0.87797296,0.889242351
29,CVC-ClinicDB,ColonFormer,BCEWithContextualLoss,4.0,55.0,0.828527153,0.89653486,0.925504208,0.883389294,0.89653486
30,CVC-ClinicDB,ColonFormer,IoUWithTVLoss_tar,0.0,87.0,0.757103682,0.842779756,0.808106005,0.909657896,0.842779756
31,CVC-ClinicDB,ColonFormer,IoUWithTVLoss_tar,1.0,120.0,0.775003076,0.857039511,0.817824602,0.920094609,0.857039511
32,CVC-ClinicDB,ColonFormer,IoUWithTVLoss_tar,2.0,63.0,0.774750173,0.858842075,0.844656944,0.90667665,0.858842134
33,CVC-ClinicDB,ColonFormer,IoUWithTVLoss_tar,3.0,70.0,0.778432846,0.856321752,0.856796622,0.892704427,0.856321752
34,CVC-ClinicDB,ColonFormer,IoUWithTVLoss_tar,4.0,19.0,0.792064309,0.876960456,0.858542144,0.908080876,0.876960456
35,CVC-ClinicDB,ColonFormer,DiceWeightedLoss,0.0,28.0,0.115855336,0.196209714,0.129457712,0.615528882,0.196209714
36,CVC-ClinicDB,ColonFormer,DiceWeightedLoss,1.0,29.0,0.13989155,0.229443073,0.156843454,0.635626733,0.229443073
37,CVC-ClinicDB,ColonFormer,DiceWeightedLoss,2.0,82.0,0.1306234,0.217622265,0.148190603,0.63427484,0.217622265
38,CVC-ClinicDB,ColonFormer,DiceWeightedLoss,3.0,66.0,0.127959117,0.2153126,0.140233368,0.678836644,0.2153126
39,CVC-ClinicDB,ColonFormer,DiceWeightedLoss,4.0,130.0,0.131964177,0.221585155,0.145543948,0.673456311,0.221585155
40,CVC-ClinicDB,ColonFormer,BCEWeightedLoss,0.0,145.0,0.190161705,0.297824025,0.207791835,0.731893182,0.297824025
41,CVC-ClinicDB,ColonFormer,BCEWeightedLoss,1.0,123.0,0.20357658,0.315666348,0.23290132,0.694515049,0.315666348
